Car_Age,Harga_Sekarang,Harga_Original,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Mobil Bekas
10,1.4701758451005926,1.8855533485144158,27000,2,0,1,0
11,1.749199854809259,2.355177543113216,43000,1,0,1,0
7,2.1102132003465894,2.3841650799864684,6900,2,0,1,0
13,1.3480731482996928,1.6389967146756448,5200,2,0,1,0
10,1.7227665977411035,2.063058062429312,42450,1,0,1,0
6,2.327277705584417,2.382320061012899,2071,1,0,1,0
9,2.0476928433652555,2.21046980408624,18796,2,0,1,0
9,2.0149030205422647,2.262804222982201,33429,1,0,1,0
8,2.277267285009756,2.2915241456346207,20273,1,0,1,0
9,2.134166441369082,2.2945529212967815,42367,1,0,1,0
7,1.3480731482996928,1.5260563034950492,2135,2,0,1,0
9,2.060513531794317,2.431857428698185,51000,1,0,1,0
9,2.1400661634962708,2.392425796993835,15000,2,0,0,0
9,1.9600947840472698,2.1644717908644115,26000,2,0,1,0
15,1.1786549963416462,2.105352923464337,77427,2,0,1,0
8,2.169053700369523,2.4672517145492794,43000,1,0,1,0
9,2.1102132003465894,2.4672517145492794,41678,1,0,1,0
9,1.4469189829363254,1.8066480817218056,35500,0,0,1,0
14,1.2947271675944,2.194999882314108,41442,2,0,1,0
8,1.3480731482996928,1.599387576580599,25000,2,0,1,0
7,1.7749523509116738,1.9035989509835904,2400,2,0,1,0
13,1.6863989535702288,2.1983350716202463,50000,2,0,0,0
10,1.252762968495368,1.4951487660319727,45280,2,0,1,0
11,1.3609765531356006,1.6882490928583902,56879,2,0,1,0
13,1.3862943611198906,1.7900914121273581,20000,2,0,1,0
11,1.6389967146756448,1.927164106234258,55138,2,0,1,0
7,1.9459101490553132,2.0135687975291283,16200,2,1,1,0
14,1.0818051703517284,1.599387576580599,44542,2,0,1,0
9,2.134166441369082,2.431857428698185,45000,1,0,1,0
12,1.410986973710262,1.9430489167742813,51439,1,0,1,0
13,1.208960345836975,1.7732559976634952,54200,2,0,1,0
10,1.7833912195575383,2.138889000323256,39000,1,0,1,0
10,1.9459101490553132,2.3933394562625097,45000,1,0,1,0
10,1.8718021769015913,2.203869120054888,45000,1,0,1,0
13,1.3737155789130306,2.167910189667444,49998,0,0,1,0
9,1.7316555451583497,2.1041341542702074,48767,2,0,1,0
21,0.30010459245033816,1.1878434223960523,127000,2,1,1,0
8,1.3862943611198906,1.5602476682433286,10079,2,0,1,0
21,1.1786549963416462,2.194999882314108,62000,2,0,1,0
8,1.9242486522741338,2.1826747963214883,24524,2,0,0,0
10,1.2669476034873244,1.6054298910365616,46706,2,0,1,0
16,1.0818051703517284,2.0980179272527715,58000,2,0,1,0
10,1.8718021769015913,2.203869120054888,45780,1,0,1,0
12,0.8109302162163288,1.3056264580524357,50000,2,0,1,0
10,2.1400661634962708,2.5680215564985067,15000,2,0,0,0
11,1.2947271675944,1.7732559976634952,64532,2,0,1,0
18,0.7178397931503168,1.6389967146756448,65000,2,0,1,0
9,1.916922612182061,2.1644717908644115,25870,2,0,1,0
7,2.169053700369523,2.331172549845958,37000,2,0,0,0
12,2.766319109226186,3.4534735262275262,104707,1,0,0,0
9,3.1780538303479458,3.4534735262275262,40000,1,0,0,0
7,2.9444389791664403,3.033509637888021,15000,1,0,0,0
11,2.833213344056216,3.4534735262275262,135000,1,1,0,0
19,1.3217558399823195,2.4168062370840686,90000,2,1,1,0
15,1.5260563034950492,2.7750856024383683,70000,2,0,0,0
9,1.7047480922384253,2.1126345090356,40534,2,0,1,0
14,1.749199854809259,2.972463646614637,50000,2,0,1,0
10,1.62924053973028,2.0541237336955462,39485,2,0,1,1
10,3.0440461338325417,3.6098362467734835,41000,1,0,0,0
11,2.0731719286662407,2.976039640208255,40001,2,0,1,0
9,1.7047480922384253,2.163323025660538,40588,2,0,1,0
10,2.9831534913471307,3.6098362467734835,78000,1,0,0,0
9,3.1986731175506815,3.6098362467734835,47000,1,0,0,0
10,1.749199854809259,2.0731719286662407,45000,1,0,1,0
7,3.0325462466767075,3.184284380098582,11000,2,0,0,0
14,2.327277705584417,3.065724645374026,59000,1,0,1,0
13,1.6770965609079151,2.6905648867611904,88000,2,0,1,0
8,2.7245795030534206,3.086943153607375,12000,2,0,1,0
10,1.599387576580599,2.048982334195127,71000,1,0,1,0
13,1.7047480922384253,2.601207105484161,45000,1,0,1,0
11,2.134166441369082,2.976039640208255,56001,2,0,1,0
13,1.2947271675944,1.9035989509835904,43000,2,0,1,0
10,1.7749523509116738,2.295560478057081,83000,1,0,1,0
9,1.599387576580599,2.0541237336955462,36000,2,0,1,0
11,1.8718021769015913,2.7523860149222616,72000,2,0,1,0
20,0.9162907318741551,2.5915163848462583,135154,2,0,0,0
14,1.8325814637483102,3.170945291110651,80000,2,0,0,0
12,2.740840023925201,3.4534735262275262,89000,1,0,0,0
8,2.7555697170701863,2.7656899805486246,23000,1,0,1,0
9,1.749199854809259,2.180417459019838,40000,1,0,1,0
7,3.1780538303479458,3.2729851505152325,15000,1,0,0,0
9,2.6026896854443837,2.671386216730619,38000,1,0,1,0
19,1.501852701754163,2.671386216730619,197176,1,0,1,0
18,1.252762968495368,3.208017081533325,142000,2,1,0,1
12,1.9315214116032138,2.6905648867611904,56000,2,0,1,0
11,1.4929040961781488,1.9530276168241774,47000,2,0,1,0
10,1.749199854809259,2.048982334195127,40000,2,0,1,0
15,1.5686159179138452,2.976039640208255,62000,2,0,1,0
10,2.505525936990736,2.8384934971274993,58242,1,0,1,0
19,1.506297153514587,2.6878474937846906,75000,2,0,1,0
16,1.6094379124341003,3.1688448912626357,89000,2,0,0,0
12,1.9242486522741338,2.976039640208255,72000,2,0,1,0
8,3.079613757534693,3.2729851505152325,29000,1,0,0,0
7,2.8903717578961645,2.97756830292632,8700,2,0,1,0
11,2.0856720914304723,2.976039640208255,45000,2,0,1,0
14,2.365559892155434,3.065724645374026,50024,1,0,1,0
8,1.0116009116784799,1.0647107369924282,3000,2,1,1,0
7,0.9932517730102834,1.0367368849500223,1400,2,1,1,0
7,0.9745596399981308,1.0224509277025458,4000,2,1,1,0
7,0.8960880245566357,0.9555114450274363,1200,2,1,1,0
7,0.8544153281560676,0.9042181506398858,4100,2,1,1,0
9,0.8544153281560676,1.2149127443642704,21700,2,1,1,0
10,0.8544153281560676,1.4929040961781488,16500,2,1,1,1
11,0.8109302162163288,0.9162907318741551,15000,2,1,1,0
8,0.7884573603642703,0.9162907318741551,18000,2,1,1,0
7,0.7884573603642703,0.9042181506398858,11000,2,1,1,0
8,0.7884573603642703,1.0224509277025458,6000,2,1,1,0
8,0.7654678421395714,0.9162907318741551,8700,2,1,1,0
10,0.7654678421395714,1.2237754316221157,7000,2,1,1,0
8,0.7654678421395714,0.8754687373538999,35000,2,1,1,0
9,0.7654678421395714,0.9042181506398858,17000,2,1,1,0
9,0.7466879474879753,0.9042181506398858,17500,2,1,1,0
11,0.7419373447293773,0.9042181506398858,33000,2,1,1,0
9,0.7419373447293773,1.0647107369924282,14000,2,1,1,0
9,0.7419373447293773,0.9042181506398858,26000,2,1,1,0
11,0.7178397931503168,1.0647107369924282,5400,2,1,1,0
8,0.7178397931503168,0.8153648132841944,5700,2,1,1,0
13,0.7178397931503168,0.9162907318741551,6900,2,1,1,0
8,0.7178397931503168,0.7747271675523681,6000,2,1,1,0
11,0.6931471805599453,0.9042181506398858,46500,2,1,1,0
12,0.6678293725756554,1.0116009116784799,11500,2,1,1,0
15,0.6418538861723947,1.0116009116784799,40000,2,1,1,0
7,0.6418538861723947,0.6678293725756554,1300,2,1,1,0
8,0.5596157879354227,0.5877866649021191,7000,2,1,1,0
7,0.5877866649021191,0.6259384308664954,3000,2,1,1,0
7,0.5766133643039938,0.6097655716208942,5000,2,1,1,0
7,0.5596157879354227,0.6259384308664954,11000,2,1,1,0
9,0.5596157879354227,0.5988365010887039,18000,2,1,1,0
7,0.5596157879354227,0.6678293725756554,3500,2,1,1,0
8,0.5423242908253617,0.6678293725756554,500,2,1,1,0
7,0.5007752879124892,0.5933268452777344,11800,2,1,1,0
9,0.5007752879124892,0.5538851132264376,5000,2,1,1,0
10,0.5007752879124892,0.7884573603642703,23500,2,1,1,0
11,0.5007752879124892,0.580538236177291,16000,2,1,1,0
8,0.47000362924573563,0.6259384308664954,15000,2,1,1,0
9,0.47000362924573563,0.6678293725756554,16600,2,1,1,0
11,0.47000362924573563,0.7884573603642703,32000,2,1,1,0
8,0.47000362924573563,0.5877866649021191,20000,2,1,1,0
9,0.47000362924573563,0.6097655716208942,29000,2,1,1,0
8,0.47000362924573563,0.6097655716208942,25000,2,1,1,0
10,0.47000362924573563,0.688134638736401,25000,2,1,1,0
12,0.47000362924573563,0.5933268452777344,19000,2,1,1,0
10,0.4382549309311553,0.580538236177291,15000,2,1,1,0
9,0.4382549309311553,0.6097655716208942,58000,2,1,1,0
14,0.41871033485818504,0.6626879730752367,45000,2,1,1,0
8,0.412109650826833,0.6626879730752367,24000,2,1,1,0
13,0.4054651081081644,0.6021277821727767,6000,2,1,1,0
8,0.4054651081081644,0.4382549309311553,31000,2,1,1,0
12,0.4054651081081644,0.688134638736401,13000,2,1,1,0
11,0.4054651081081644,0.688134638736401,45000,2,1,1,0
10,0.4054651081081644,0.6312717768418578,8000,2,1,1,0
7,0.3920420877760237,0.412109650826833,4300,2,1,0,0
7,0.3920420877760237,0.41871033485818504,15000,2,1,1,0
9,0.3920420877760237,0.6097655716208942,23000,2,1,1,0
7,0.3920420877760237,0.43178241642553783,8600,2,1,1,0
7,0.371563556432483,0.412109650826833,4000,2,1,0,0
13,0.371563556432483,0.6678293725756554,24000,2,1,1,0
10,0.371563556432483,0.6021277821727767,23000,2,1,1,0
12,0.371563556432483,0.688134638736401,14500,2,1,1,0
14,0.371563556432483,0.6678293725756554,27000,2,1,1,0
8,0.371563556432483,0.43178241642553783,14000,2,1,1,0
8,0.371563556432483,0.43178241642553783,500,2,1,0,0
8,0.371563556432483,0.4382549309311553,1000,2,1,1,0
10,0.35065687161316933,0.5933268452777344,42000,2,1,1,0
11,0.35065687161316933,0.5481214085096876,12000,2,1,1,0
9,0.3364722366212129,0.43178241642553783,14000,2,1,1,0
12,0.3364722366212129,0.6043159668533296,5500,2,1,1,0
9,0.3364722366212129,0.4382549309311553,6700,2,1,1,0
10,0.3364722366212129,0.4946962418361071,13700,2,1,1,0
7,0.3364722366212129,0.412109650826833,1300,2,1,0,0
9,0.3220834991691132,0.5423242908253617,38600,2,1,1,0
13,0.3220834991691132,0.580538236177291,75000,2,1,1,0
13,0.30010459245033816,0.7178397931503168,30000,2,1,1,0
8,0.30010459245033816,0.45107561936021656,24000,2,1,0,0
10,0.30010459245033816,0.41871033485818504,19000,2,1,0,0
14,0.2700271372130602,0.7178397931503168,213000,2,1,1,0
12,0.26236426446749106,0.412109650826833,60000,2,1,1,0
8,0.26236426446749106,0.3920420877760237,50000,2,1,1,0
11,0.26236426446749106,0.4574248470388755,30000,2,1,1,0
11,0.23901690047049992,0.3852624007906449,21000,2,1,1,0
16,0.22314355131420976,0.5596157879354227,26000,2,1,1,1
16,0.22314355131420976,0.4574248470388755,1900,2,1,0,0
14,0.22314355131420976,0.41871033485818504,22000,2,1,0,0
11,0.22314355131420976,0.412109650826833,32000,2,1,1,0
11,0.22314355131420976,0.45107561936021656,18000,2,1,1,0
19,0.1823215567939546,0.45107561936021656,55000,2,1,1,0
16,0.1823215567939546,0.5596157879354227,60000,2,1,1,0
12,0.1823215567939546,0.45107561936021656,25000,2,1,1,1
17,0.1823215567939546,0.5596157879354227,49000,2,1,1,1
11,0.1823215567939546,0.5007752879124892,24000,2,1,1,1
16,0.1823215567939546,0.580538236177291,50000,2,1,1,0
9,0.16551443847757333,0.27763173659827955,35000,2,1,1,0
14,0.14842000511827322,0.412109650826833,33000,2,1,1,0
13,0.13976194237515863,0.45107561936021656,35000,2,1,1,1
17,0.11332868530700327,0.4574248470388755,53000,2,1,1,0
18,0.09531017980432493,0.5596157879354227,92233,2,1,1,0
14,1.4469189829363254,2.052840859882657,58000,1,0,1,1
9,1.6863989535702288,1.9021075263969205,28200,2,0,1,0
13,1.3737155789130306,1.7227665977411035,53460,2,0,1,0
9,1.3217558399823195,1.691939133945844,28282,2,0,1,0
8,1.8325814637483102,1.9021075263969205,3493,2,0,1,1
7,1.9095425048844386,2.0955609235597192,12479,2,0,1,0
9,1.8164520818184267,1.9021075263969205,34797,2,0,0,0
7,2.186051276738094,2.2082744135228043,3435,2,0,1,0
9,1.766441661243765,1.9021075263969205,21125,1,0,1,0
12,1.410986973710262,1.7227665977411035,35775,2,0,1,0
9,2.545531271604435,2.7593768282675506,43535,1,0,1,0
8,2.505525936990736,2.681021528714291,22671,2,0,1,0
13,1.3609765531356006,2.052840859882657,31604,2,0,1,0
7,1.8325814637483102,1.9021075263969205,20114,2,0,1,0
12,1.7047480922384253,2.341805806147327,36100,2,0,1,0
8,1.3609765531356006,1.691939133945844,12500,2,0,1,0
8,1.423108334242607,1.691939133945844,15000,2,0,1,0
10,2.0082140323914683,2.341805806147327,45078,2,0,1,0
12,1.7047480922384253,2.341805806147327,36000,2,0,1,0
7,1.5040773967762742,1.691939133945844,38488,2,0,1,0
11,1.7047480922384253,2.052840859882657,32000,2,0,0,0
10,1.9459101490553132,2.151762203259462,77632,1,0,1,0
9,2.224623551524334,2.341805806147327,61381,1,0,1,0
11,1.809926773183504,2.341805806147327,36198,2,0,0,0
13,1.308332819650179,1.7227665977411035,22517,2,0,1,0
9,1.8325814637483102,1.9021075263969205,24678,2,0,1,0
13,1.2669476034873244,1.691939133945844,57000,2,0,1,0
12,1.7833912195575383,2.341805806147327,60000,1,0,1,0
12,1.410986973710262,2.052840859882657,52132,1,0,1,0
11,1.9671123567059163,2.341805806147327,45000,1,0,1,0
7,2.327277705584417,2.341805806147327,15001,2,0,1,0
9,2.5217206229107165,2.7593768282675506,12900,2,0,0,0
11,1.589235205116581,1.9021075263969205,53000,1,0,1,0
9,1.8718021769015913,1.9021075263969205,4492,2,0,1,0
7,2.312535423847214,2.341805806147327,15141,2,0,1,0
8,1.410986973710262,1.691939133945844,11849,2,0,1,0
9,2.505525936990736,2.681021528714291,68000,1,0,1,0
11,1.7578579175523736,2.341805806147327,60241,2,0,1,0
12,1.0986122886681098,1.691939133945844,23709,2,0,1,0
12,1.8484548129046001,2.341805806147327,32322,1,0,1,0
9,1.749199854809259,2.0955609235597192,35866,2,0,1,1
10,1.6863989535702288,2.0955609235597192,34000,2,0,1,0
8,1.9810014688665833,2.151762203259462,7000,2,0,1,0
11,1.9387416595767009,2.341805806147327,49000,1,0,1,0
12,1.824549292051046,2.341805806147327,71000,1,0,1,0
12,1.55814461804655,2.052840859882657,35000,2,0,1,0
9,1.9387416595767009,2.341805806147327,36000,2,0,1,0
11,1.6094379124341003,1.7227665977411035,30000,2,0,1,0
8,1.8325814637483102,2.151762203259462,17000,2,0,1,0
8,2.631888840136646,2.681021528714291,35934,1,0,1,0
11,1.791759469228055,2.388762789235098,56701,2,0,1,0
9,1.8562979903656263,2.05668455455722,31427,2,0,0,0
10,2.1041341542702074,2.388762789235098,48000,1,0,1,0
11,1.8325814637483102,2.388762789235098,54242,2,0,1,0
12,1.3862943611198906,1.8484548129046001,53675,2,0,1,0
8,2.4203681286504293,2.681021528714291,49562,2,0,1,0
9,2.2512917986064953,2.681021528714291,40324,2,0,1,0
9,2.2407096892759584,2.681021528714291,25000,2,0,1,0
10,1.589235205116581,2.0794415416798357,36054,2,0,1,0
8,2.3174737054877963,2.681021528714291,29223,2,0,1,0
8,1.8718021769015913,1.9416152247724325,5600,2,0,1,0
9,1.6094379124341003,1.916922612182061,40023,2,0,1,0
8,2.028148247292285,2.163323025660538,16002,2,0,1,0
9,1.6094379124341003,2.0794415416798357,40026,2,0,1,0
7,2.0149030205422647,2.272125885509337,21200,2,0,1,0
10,1.536867219599265,2.0794415416798357,35000,2,0,1,0
8,2.2353763433005955,2.341805806147327,19434,1,0,1,0
7,1.7578579175523736,1.916922612182061,19000,2,0,1,0
9,2.0412203288596382,2.3978952727983707,18828,2,0,1,0
13,1.62924053973028,2.3978952727983707,69341,2,0,1,0
15,1.3862943611198906,2.3978952727983707,69562,2,0,1,0
9,2.1400661634962708,2.3978952727983707,27600,2,0,1,0
14,1.1786549963416462,2.1400661634962708,61203,2,0,1,0
10,1.840549633397487,2.0541237336955462,16500,2,0,1,0
8,2.4765384001174837,2.681021528714291,30753,2,0,0,0
9,2.2669579153508947,2.681021528714291,24800,2,0,1,0
9,2.3702437414678603,2.681021528714291,21780,2,0,1,0
8,1.9459101490553132,2.2407096892759584,4000,2,0,1,0
10,1.9810014688665833,2.681021528714291,40126,2,0,1,0
9,1.8325814637483102,1.9315214116032138,14465,2,0,1,0
18,1.1314021114911006,2.151762203259462,50456,2,0,1,0
10,2.224623551524334,2.70805020110221,63000,1,0,1,0
8,2.301584592660462,2.5494451709255714,9010,2,0,1,0
11,1.5040773967762742,1.9315214116032138,9800,2,0,1,0
8,2.128231705849268,2.2512917986064953,15059,2,0,0,0
8,1.8946168546677629,2.186051276738094,28569,2,0,1,0
9,1.9095425048844386,2.1400661634962708,44000,2,0,0,0
9,2.2407096892759584,2.681021528714291,34000,2,0,1,0
8,2.4078456036515385,2.681021528714291,10980,2,0,1,0
10,1.7047480922384253,2.0014800002101243,19000,2,0,1,0
9,1.8562979903656263,1.9600947840472698,31427,2,0,1,0
8,2.0014800002101243,2.2407096892759584,12000,2,0,1,0
14,1.4469189829363254,2.388762789235098,38000,2,0,1,0
10,1.55814461804655,2.0541237336955462,33019,2,0,1,0
9,2.256541154492639,2.645465325910589,60076,1,0,1,0
8,2.3513752571634776,2.533696813957432,33988,1,0,1,0
9,1.6094379124341003,1.9315214116032138,60000,2,0,1,0
15,1.4701758451005926,2.4849066497880004,87934,2,0,1,0
7,2.5257286443082556,2.6026896854443837,9000,1,0,1,0
8,1.840549633397487,1.9315214116032138,5464,2,0,1,0
